subject	subject_activity	subject_location	subject_process	relation	object	object_activity	object_location	object_process	model	state
UniProtKB:Q9NV06	GO:1990756	CL:0000351,GO:0005730	GO:0043161,GO:0044725	RO:0002409	UniProtKB:O43463	GO:0140949	GO:0005634,CL:0000351	GO:0044725	gomodel:63c0ac2b00001566	production
UniProtKB:Q9NV06	GO:1990756	CL:0000351,GO:0005730	GO:0044725,GO:0043161	RO:0002409	UniProtKB:Q9H5I1	GO:1990756	CL:0000351,GO:0005634	GO:0044725	gomodel:63c0ac2b00001566	production
UniProtKB:Q16531	GO:0160072	GO:0005634,CL:0000351	GO:0043161,GO:0044725	RO:0002629	UniProtKB:Q9NV06	GO:1990756	CL:0000351,GO:0005730	GO:0044725,GO:0043161	gomodel:63c0ac2b00001566	production
UniProtKB:Q16531	GO:0160072	CL:0000023,GO:0005730	GO:0043161,GO:0007056	RO:0002629	UniProtKB:Q9NV06	GO:1990756	CL:0000023,GO:0005730	GO:0043161,GO:0007056	gomodel:63c0ac2b00001634	production
UniProtKB:Q9NV06	GO:1990756	GO:0005730,CL:0000023	GO:0043161,GO:0007056	RO:0002409	UniProtKB:P60484	GO:0052866	CL:0000023,GO:0005575	GO:0014067,GO:0007056	gomodel:63c0ac2b00001634	production
REACTO:R-HSA-392141	GO:0005488		GO:0008150	RO:0002629	REACTO:R-HSA-392141	GO:0004383	GO:0005829	GO:0008150	gomodel:R-HSA-392154	development
REACTO:R-HSA-1981135	GO:0050211		GO:0030199	RO:0002413	REACTO:R-HSA-1981148	GO:0033823	GO:0005789	GO:0030199	gomodel:R-HSA-1650814	development
REACTO:R-HSA-202527	GO:0004674	GO:0005829	GO:0008150	RO:0002413	REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-202424	development
REACTO:R-HSA-202527	GO:0004674	GO:0005829		RO:0002411	REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-202424	development
REACTO:R-HSA-5607649	GO:0004674	GO:0005829		RO:0002411	REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-202424	development
REACTO:R-HSA-2685681	GO:0004842	GO:0005829	GO:0008150	RO:0002629	REACTO:R-HSA-202506	GO:0004674	GO:0005829	GO:0008150	gomodel:R-HSA-202424	development
REACTO:R-HSA-5607687	GO:0004842	GO:0005829	GO:0008150	RO:0002413	REACTO:R-HSA-68819	GO:0004175	GO:0005829	GO:0008150	gomodel:R-HSA-202424	development
REACTO:R-HSA-5607687	GO:0004842	GO:0005829		RO:0002411	REACTO:R-HSA-68819	GO:0004175	GO:0005829	GO:0008150	gomodel:R-HSA-202424	development
REACTO:R-HSA-202506	GO:0004674	GO:0005829	GO:0008150	RO:0002413	REACTO:R-HSA-5607687	GO:0004842	GO:0005829	GO:0008150	gomodel:R-HSA-202424	development
REACTO:R-HSA-917916	GO:0016722	GO:0005886		RO:0002411	REACTO:R-HSA-435359	GO:0005381	GO:0005886	GO:0008150	gomodel:R-HSA-425410	development
REACTO:R-HSA-435359	GO:0005381	GO:0005886	GO:0008150	RO:0002413	REACTO:R-HSA-904825	GO:0005381	GO:0005886	GO:0008150	gomodel:R-HSA-425410	development
REACTO:R-HSA-450343	GO:0004708	GO:0005654	GO:0038066	RO:0002413	REACTO:R-HSA-198703	GO:0004674	GO:0005654	GO:0038066	gomodel:R-HSA-450302	development
